ID,Applicant_Name,Gender,District,State,Pincode,Ownership,GovtID_Type,ID_Number,Category,Load_Applied,Date_of_Application,Date_of_Approval,Modified_Date,Status,Reviewer_ID,Reviewer_Name,Reviewer_Comments
29,PETER,Male,North,KARNATAKA,560026,INDIVIDUAL,VOTER_ID,80499,Commercial,10,07-04-2021,01-08-2024,07-05-2021,Rejected ,1460,HEM CHAND,KYC failed
30,JONATHAN,Male,North,KARNATAKA,560014,INDIVIDUAL,AADHAR,7.30E+11,Commercial,12,28-08-2021,29-04-2024,28-09-2021,Rejected ,1460,HEM CHAND,KYC failed
31,CHRISTOPHER,Male,North,KARNATAKA,560060,INDIVIDUAL,PAN,1136961,Residential,4,16-08-2021,26-05-2024,16-09-2021,Connection Released,2456,RAHUL SINGH,Installation completed
32,LAUREN,Male,North,KARNATAKA,560021,JOINT,PASSPORT,448437646,Commercial,7,31-07-2021,12-10-2024,31-08-2021,Connection Released,1460,HEM CHAND,Installation completed
33,LAURA,Male,North,KARNATAKA,560012,INDIVIDUAL,PAN,2157440,Commercial,12,22-04-2021,13-01-2022,22-05-2021,Connection Released,1460,HEM CHAND,Installation completed
34,ELIZABETH,Male,North,KARNATAKA,560056,INDIVIDUAL,PAN,5732469,Commercial,11,13-10-2021,05-10-2024,13-11-2021,Connection Released,1678,Manoj Pandey,Installation completed
35,MATTHEW,Male,North,KARNATAKA,560058,INDIVIDUAL,VOTER_ID,70550,Residential,4,04-01-2021,22-09-2024,04-02-2021,Connection Released,4510,VINOD GUPTA,Installation completed
36,RICHARD,Male,North,KARNATAKA,560045,INDIVIDUAL,AADHAR,2.02E+11,Residential,3,11-04-2021,07-03-2024,11-05-2021,Connection Released,1460,HEM CHAND,Installation completed
37,MATT,Male,North,KARNATAKA,560047,INDIVIDUAL,PAN,3403216,Residential,9,01-07-2021,07-04-2024,01-08-2021,Connection Released,4510,VINOD GUPTA,Installation completed
38,STEVEN,Male,North,KARNATAKA,560032,INDIVIDUAL,PAN,9829576,Commercial,5,29-03-2021,18-05-2024,29-04-2021,Connection Released,1311,Sudhanshu Gupta,Installation completed
39,MARY,Male,North,KARNATAKA,560034,INDIVIDUAL,AADHAR,1.29E+11,Commercial,9,26-04-2021,03-11-2024,26-05-2021,Connection Released,1460,HEM CHAND,Installation completed
40,ADAM,Male,North,KARNATAKA,560050,INDIVIDUAL,AADHAR,1.69E+11,Commercial,6,12-09-2021,25-07-2024,12-10-2021,Connection Released,4510,VINOD GUPTA,Installation completed
41,KAREN,Male,North,KARNATAKA,560040,JOINT,PASSPORT,33150797,Commercial,7,13-12-2021,15-09-2024,13-01-2022,Connection Released,2456,RAHUL SINGH,Installation completed
42,AMY,Male,North,KARNATAKA,560010,JOINT,AADHAR,8.32E+11,Residential,12,05-09-2021,18-11-2024,05-10-2021,Connection Released,2456,RAHUL SINGH,Installation completed
43,CHRISTINE,Male,North,KARNATAKA,560026,INDIVIDUAL,PAN,3701065,Residential,12,07-09-2021,17-08-2024,07-10-2021,Rejected ,2456,RAHUL SINGH,KYC failed
44,AMANDA,Male,North,KARNATAKA,560061,JOINT,VOTER_ID,70312,Residential,10,27-01-2021,28-02-2024,27-02-2021,Rejected ,1678,Manoj Pandey,KYC failed
45,RACHEL,Male,North,KARNATAKA,560064,INDIVIDUAL,PASSPORT,716259579,Residential,11,27-10-2021,25-07-2024,27-11-2021,Rejected ,1460,HEM CHAND,KYC failed
46,SUSAN,Male,North,KARNATAKA,560049,INDIVIDUAL,VOTER_ID,91261,Commercial,1,25-05-2021,17-10-2024,25-06-2021,Rejected ,1678,Manoj Pandey,KYC failed
47,RYAN,Male,North,KARNATAKA,560029,INDIVIDUAL,AADHAR,1.12E+11,Residential,1,22-08-2021,22-10-2024,22-09-2021,Connection Released,1311,Sudhanshu Gupta,Installation completed
48,CHRISTINA,Male,North,KARNATAKA,560004,INDIVIDUAL,PAN,6915817,Residential,3,07-02-2021,22-10-2024,07-03-2021,Connection Released,1460,HEM CHAND,Installation completed
49,DANIELLE,Male,North,KARNATAKA,560005,INDIVIDUAL,VOTER_ID,71178,Commercial,1,07-03-2021,06-06-2024,07-04-2021,Connection Released,4510,VINOD GUPTA,Installation completed
50,STEVE,Male,North,KARNATAKA,560043,INDIVIDUAL,PASSPORT,52584158,Commercial,4,28-03-2021,23-12-2024,28-04-2021,Rejected ,2456,RAHUL SINGH,KYC failed
51,EMILY,Male,North,KARNATAKA,560059,INDIVIDUAL,VOTER_ID,95692,Commercial,9,26-01-2021,13-08-2024,26-02-2021,Rejected ,1460,HEM CHAND,KYC failed
52,WILLIAM,Male,North,KARNATAKA,560053,INDIVIDUAL,PASSPORT,684119441,Commercial,8,18-04-2021,28-02-2024,18-05-2021,Connection Released,1460,HEM CHAND,Installation completed
53,JOSÉ,Male,North,KARNATAKA,560018,JOINT,AADHAR,2.63E+11,Commercial,4,03-10-2021,27-08-2024,03-11-2021,Connection Released,1678,Manoj Pandey,Installation completed
54,SEAN,Male,North,KARNATAKA,560045,JOINT,VOTER_ID,94726,Residential,2,25-06-2021,22-11-2024,25-07-2021,Connection Released,2456,RAHUL SINGH,Installation completed
55,SCOTT,Male,North,KARNATAKA,560044,INDIVIDUAL,PASSPORT,766310059,Commercial,12,23-09-2021,18-07-2024,23-10-2021,Rejected ,1311,Sudhanshu Gupta,KYC failed
56,ANNA,Male,North,KARNATAKA,560001,INDIVIDUAL,PASSPORT,343565406,Commercial,1,21-10-2021,04-09-2024,21-11-2021,Rejected ,1678,Manoj Pandey,KYC failed
57,FRANK,Male,North,KARNATAKA,560056,INDIVIDUAL,AADHAR,7.26E+11,Residential,8,15-08-2021,26-01-2022,15-09-2021,Connection Released,1311,Sudhanshu Gupta,Installation completed
58,THOMAS,Male,North,KARNATAKA,560054,INDIVIDUAL,PASSPORT,889733350,Commercial,3,18-10-2021,20-07-2024,18-11-2021,Connection Released,4510,VINOD GUPTA,Installation completed
59,NICK,Male,North,KARNATAKA,560013,INDIVIDUAL,PASSPORT,477715935,Commercial,10,17-07-2021,26-05-2024,17-08-2021,Connection Released,1678,Manoj Pandey,Installation completed
60,JUSTIN,Male,North,KARNATAKA,560013,INDIVIDUAL,VOTER_ID,75282,Commercial,8,28-01-2021,08-02-2024,28-02-2021,Connection Released,1460,HEM CHAND,Installation completed
61,ASHLEY,Male,North,KARNATAKA,560042,INDIVIDUAL,PASSPORT,19465207,Commercial,5,25-06-2021,15-05-2024,25-07-2021,Connection Released,4510,VINOD GUPTA,Installation completed
62,DAN,Male,North,KARNATAKA,560010,INDIVIDUAL,AADHAR,9.88E+11,Residential,6,17-09-2021,13-01-2022,17-10-2021,Connection Released,4510,VINOD GUPTA,Installation completed
63,LINDA,Male,North,KARNATAKA,560001,JOINT,PASSPORT,43102556,Commercial,9,22-09-2021,02-08-2024,22-10-2021,Connection Released,1678,Manoj Pandey,Installation completed
64,ANDREA,Male,North,KARNATAKA,560016,INDIVIDUAL,PASSPORT,790284972,Residential,6,20-01-2021,27-11-2024,20-02-2021,Rejected ,2456,RAHUL SINGH,KYC failed
65,JEFF,Male,North,KARNATAKA,560062,INDIVIDUAL,PAN,5531105,Residential,5,06-04-2021,01-11-2024,06-05-2021,Rejected ,2456,RAHUL SINGH,KYC failed
66,GEORGE,Male,North,KARNATAKA,560043,INDIVIDUAL,AADHAR,1.81E+11,Residential,12,18-02-2021,26-10-2024,18-03-2021,Rejected ,1678,Manoj Pandey,KYC failed
67,PATRICK,Male,North,KARNATAKA,560002,INDIVIDUAL,PAN,2022120,Residential,12,19-08-2021,07-08-2024,19-09-2021,Rejected ,1678,Manoj Pandey,KYC failed
68,ANGELA,Male,North,KARNATAKA,560028,INDIVIDUAL,AADHAR,2.51E+11,Residential,2,22-09-2021,25-01-2022,22-10-2021,Connection Released,1460,HEM CHAND,Installation completed
69,TOM,Male,North,KARNATAKA,560007,INDIVIDUAL,AADHAR,6.00E+11,Commercial,8,06-05-2021,11-07-2024,06-06-2021,Connection Released,4510,VINOD GUPTA,Installation completed
70,KELLY,Male,North,KARNATAKA,560041,INDIVIDUAL,VOTER_ID,70995,Residential,8,23-11-2021,10-07-2024,23-12-2021,Connection Released,1460,HEM CHAND,Installation completed
71,KATIE,Male,North,KARNATAKA,560030,INDIVIDUAL,VOTER_ID,86012,Commercial,11,03-02-2021,20-07-2024,03-03-2021,Rejected ,1460,HEM CHAND,KYC failed
72,STEPHEN,Male,North,KARNATAKA,560028,JOINT,VOTER_ID,85483,Residential,4,26-01-2021,13-01-2022,26-02-2021,Approved,1678,Manoj Pandey,Installation pending
73,??Ä?Å,Male,North,KARNATAKA,560054,JOINT,AADHAR,2.91E+11,Residential,5,13-07-2021,07-08-2024,13-08-2021,Connection Released,2456,RAHUL SINGH,Installation completed
74,BARBARA,Male,North,KARNATAKA,560012,INDIVIDUAL,PASSPORT,205726513,Commercial,12,28-01-2021,14-01-2022,28-02-2021,Connection Released,4510,VINOD GUPTA,Installation completed
75,SAMANTHA,Male,North,KARNATAKA,560012,JOINT,AADHAR,4.88E+11,Residential,2,27-07-2021,17-05-2024,27-08-2021,Connection Released,4510,VINOD GUPTA,Installation completed
76,NANCY,Male,North,KARNATAKA,560048,INDIVIDUAL,PASSPORT,757246673,Commercial,9,22-10-2021,18-06-2024,22-11-2021,Connection Released,1311,Sudhanshu Gupta,Installation completed
77,PATRÍCIA,Male,North,KARNATAKA,560046,INDIVIDUAL,VOTER_ID,87004,Commercial,10,18-06-2021,23-02-2024,18-07-2021,Connection Released,1311,Sudhanshu Gupta,Installation completed
78,JULIE,Male,North,KARNATAKA,560027,INDIVIDUAL,PAN,1932234,Commercial,11,25-10-2021,30-09-2024,25-11-2021,Approved,4510,VINOD GUPTA,Installation pending
79,CARLOS,Male,North,KARNATAKA,560008,INDIVIDUAL,PAN,3960937,Commercial,10,17-06-2021,17-01-2022,17-07-2021,Approved,4510,VINOD GUPTA,Installation pending
80,REBECCA,Male,North,KARNATAKA,560026,INDIVIDUAL,PASSPORT,568435057,Residential,9,07-10-2021,01-09-2024,07-11-2021,Approved,1678,Manoj Pandey,Installation pending
81,SARA,Male,North,KARNATAKA,560009,INDIVIDUAL,VOTER_ID,82672,Commercial,1,09-08-2021,20-04-2024,09-09-2021,Approved,1678,Manoj Pandey,Installation pending
82,LUÍS,Male,North,KARNATAKA,560050,INDIVIDUAL,PASSPORT,686326136,Residential,1,04-08-2021,22-02-2024,04-09-2021,Connection Released,1311,Sudhanshu Gupta,Installation completed
83,JAY,Male,North,KARNATAKA,560048,INDIVIDUAL,PAN,7236303,Commercial,6,26-12-2021,13-12-2024,26-01-2022,Connection Released,1311,Sudhanshu Gupta,Installation completed
84,DENISE,Male,North,KARNATAKA,560034,JOINT,AADHAR,7.43E+11,Commercial,8,20-06-2021,28-03-2024,20-07-2021,Connection Released,1311,Sudhanshu Gupta,Installation completed
85,KIM,Male,North,KARNATAKA,560005,JOINT,PAN,9165084,Commercial,12,21-03-2021,08-03-2024,21-04-2021,Approved,4510,VINOD GUPTA,Installation pending
86,ROB,Male,North,KARNATAKA,560004,INDIVIDUAL,VOTER_ID,72018,Commercial,5,03-05-2021,05-04-2024,03-06-2021,Approved,1311,Sudhanshu Gupta,Installation pending
87,DANNY,Male,North,KARNATAKA,560027,INDIVIDUAL,VOTER_ID,75090,Commercial,3,26-04-2021,08-03-2024,26-05-2021,Connection Released,4510,VINOD GUPTA,Installation completed
88,ERIN,Male,North,KARNATAKA,560045,INDIVIDUAL,AADHAR,9.94E+11,Commercial,1,08-01-2021,07-01-2022,08-02-2021,Connection Released,4510,VINOD GUPTA,Installation completed
89,BEN,Male,North,KARNATAKA,560060,INDIVIDUAL,AADHAR,9.56E+11,Residential,5,15-04-2021,26-08-2024,15-05-2021,Connection Released,1311,Sudhanshu Gupta,Installation completed
90,HEATHER,Male,North,KARNATAKA,560063,INDIVIDUAL,PASSPORT,382917454,Residential,7,13-12-2021,14-01-2022,13-01-2022,Connection Released,4510,VINOD GUPTA,Installation completed
91,VANESSA,Male,North,KARNATAKA,560031,INDIVIDUAL,VOTER_ID,76338,Residential,11,02-07-2021,30-04-2024,02-08-2021,Connection Released,4510,VINOD GUPTA,Installation completed
92,CHARLES,Male,North,KARNATAKA,560033,INDIVIDUAL,AADHAR,9.04E+11,Residential,7,01-01-2022,19-01-2022,01-02-2022,Approved,1460,HEM CHAND,Installation pending
93,KATE,Male,North,KARNATAKA,560040,INDIVIDUAL,PASSPORT,870269215,Commercial,8,14-12-2021,29-07-2024,14-01-2022,Approved,1460,HEM CHAND,Installation pending
94,KIMBERLY,Male,North,KARNATAKA,560018,JOINT,PASSPORT,800060483,Residential,10,20-02-2021,02-07-2024,20-03-2021,Approved,4510,VINOD GUPTA,Installation pending
95,TONY,Male,North,KARNATAKA,560012,INDIVIDUAL,AADHAR,8.92E+11,Commercial,9,04-01-2021,11-04-2024,04-02-2021,Approved,4510,VINOD GUPTA,Installation pending
96,TIFFANY,Male,North,KARNATAKA,560046,INDIVIDUAL,VOTER_ID,80529,Commercial,11,27-10-2021,10-02-2024,27-11-2021,Connection Released,2456,RAHUL SINGH,Installation completed
97,SAM,Male,North,KARNATAKA,560029,INDIVIDUAL,AADHAR,1.46E+11,Residential,12,01-10-2021,13-05-2024,01-11-2021,Connection Released,1460,HEM CHAND,Installation completed
98,JUAN,Male,North,KARNATAKA,560012,INDIVIDUAL,PAN,2422542,Commercial,6,26-09-2021,21-10-2024,26-10-2021,Connection Released,1678,Manoj Pandey,Installation completed
99,DONNA,Male,North,KARNATAKA,560061,INDIVIDUAL,PAN,4862646,Residential,8,23-02-2021,01-03-2024,23-03-2021,Approved,1678,Manoj Pandey,Installation pending
100,ERICA,Male,North,KARNATAKA,560057,INDIVIDUAL,AADHAR,7.73E+11,Commercial,10,16-05-2021,21-01-2022,16-06-2021,Approved,2456,RAHUL SINGH,Installation pending
101,JEFFREY,Male,North,KARNATAKA,560005,INDIVIDUAL,VOTER_ID,75945,Residential,8,07-07-2021,28-02-2024,07-08-2021,Connection Released,2456,RAHUL SINGH,Installation completed
102,GREG,Male,North,KARNATAKA,560060,INDIVIDUAL,PASSPORT,110602044,Commercial,10,25-12-2021,03-09-2024,25-01-2022,Connection Released,1678,Manoj Pandey,Installation completed
103,JOSHUA,Male,North,KARNATAKA,560018,JOINT,AADHAR,8.66E+11,Residential,4,11-06-2021,09-09-2024,11-07-2021,Connection Released,1460,HEM CHAND,Installation completed
104,JOSH,Male,North,KARNATAKA,560027,JOINT,AADHAR,3.40E+11,Commercial,5,10-06-2021,18-11-2024,10-07-2021,Connection Released,2456,RAHUL SINGH,Installation completed
105,SANDRA,Male,North,KARNATAKA,560036,INDIVIDUAL,AADHAR,2.65E+11,Residential,5,20-06-2021,07-02-2024,20-07-2021,Connection Released,1460,HEM CHAND,Installation completed
106,SHARON,Male,North,KARNATAKA,560041,JOINT,VOTER_ID,79025,Residential,1,08-12-2021,27-05-2024,08-01-2022,Approved,1678,Manoj Pandey,Installation pending
107,JENNY,Male,North,KARNATAKA,560040,INDIVIDUAL,PAN,2704475,Commercial,3,06-02-2021,23-02-2024,06-03-2021,Approved,1311,Sudhanshu Gupta,Installation pending
108,LIZ,Male,North,KARNATAKA,560051,INDIVIDUAL,PASSPORT,513014573,Residential,12,19-02-2021,19-04-2024,19-03-2021,Approved,1311,Sudhanshu Gupta,Installation pending
109,JÚLIA,Male,North,KARNATAKA,560036,INDIVIDUAL,PAN,7313130,Commercial,3,16-07-2021,07-12-2024,16-08-2021,Approved,1311,Sudhanshu Gupta,Installation pending
110,JAMIE,Male,North,KARNATAKA,560051,INDIVIDUAL,PASSPORT,432921276,Commercial,7,13-12-2021,16-07-2024,13-01-2022,Connection Released,2456,RAHUL SINGH,Installation completed
111,TIM,Male,North,KARNATAKA,560043,INDIVIDUAL,PASSPORT,720291686,Residential,5,07-07-2021,07-12-2024,07-08-2021,Connection Released,2456,RAHUL SINGH,Installation completed
112,MICHELE,Male,North,KARNATAKA,560054,INDIVIDUAL,VOTER_ID,93714,Residential,8,14-12-2021,09-08-2024,14-01-2022,Connection Released,2456,RAHUL SINGH,Installation completed
113,MARC,Male,North,KARNATAKA,560028,INDIVIDUAL,VOTER_ID,72736,Commercial,3,20-09-2021,20-09-2024,20-10-2021,Approved,1460,HEM CHAND,Installation pending
114,AARON,Male,North,KARNATAKA,560024,INDIVIDUAL,PAN,3000326,Commercial,2,13-01-2021,07-02-2024,13-02-2021,Approved,2456,RAHUL SINGH,Installation pending
115,JIM,Male,North,KARNATAKA,560047,JOINT,PAN,6720071,Residential,7,17-04-2021,30-01-2022,17-05-2021,Connection Released,1311,Sudhanshu Gupta,Installation completed
116,DAVE,Male,North,KARNATAKA,560039,JOINT,AADHAR,2.20E+11,Residential,6,18-05-2021,29-06-2024,18-06-2021,Connection Released,4510,VINOD GUPTA,Installation completed
117,VICTORIA,Male,North,KARNATAKA,560015,INDIVIDUAL,AADHAR,7.42E+11,Residential,6,23-01-2021,22-08-2024,23-02-2021,Connection Released,4510,VINOD GUPTA,Installation completed
118,CHRISTIAN,Male,North,KARNATAKA,560025,INDIVIDUAL,PASSPORT,953873672,Commercial,9,31-08-2021,18-06-2024,30-09-2021,Connection Released,4510,VINOD GUPTA,Installation completed
119,MEGAN,Male,North,KARNATAKA,560036,INDIVIDUAL,PAN,4741153,Residential,9,17-12-2021,21-12-2024,17-01-2022,Connection Released,1311,Sudhanshu Gupta,Installation completed
120,JON,Male,North,KARNATAKA,560022,INDIVIDUAL,PAN,4204193,Residential,4,31-01-2021,06-10-2024,28-02-2021,Approved,4510,VINOD GUPTA,Installation pending
121,BILL,Male,North,KARNATAKA,560023,INDIVIDUAL,AADHAR,4.00E+11,Residential,12,01-12-2021,05-06-2024,01-01-2022,Approved,2456,RAHUL SINGH,Installation pending
122,ALLISON,Male,North,KARNATAKA,560033,INDIVIDUAL,VOTER_ID,81125,Commercial,12,27-05-2021,29-01-2022,27-06-2021,Approved,4510,VINOD GUPTA,Installation pending
123,ANDY,Male,North,KARNATAKA,560054,INDIVIDUAL,PASSPORT,527418964,Commercial,7,28-02-2021,07-05-2024,28-03-2021,Approved,1678,Manoj Pandey,Installation pending
124,CAROL,Male,North,KARNATAKA,560040,INDIVIDUAL,AADHAR,9.06E+11,Residential,3,01-08-2021,05-10-2024,01-09-2021,Connection Released,1678,Manoj Pandey,Installation completed
125,GARY,Male,North,KARNATAKA,560013,JOINT,PASSPORT,251258961,Residential,10,20-03-2021,01-07-2024,20-04-2021,Connection Released,2456,RAHUL SINGH,Installation completed
126,DIANE,Male,North,KARNATAKA,560021,INDIVIDUAL,PASSPORT,846516148,Residential,9,22-01-2021,10-11-2024,22-02-2021,Connection Released,1311,Sudhanshu Gupta,Installation completed
127,JACKIE,Male,North,KARNATAKA,560019,INDIVIDUAL,AADHAR,9.97E+11,Commercial,9,10-08-2021,28-02-2024,10-09-2021,Approved,1311,Sudhanshu Gupta,Installation pending
128,CATHERINE,Male,North,KARNATAKA,560044,INDIVIDUAL,AADHAR,7.87E+11,Residential,4,13-03-2021,12-06-2024,13-04-2021,Approved,1311,Sudhanshu Gupta,Installation pending
129,TARA,Male,North,KARNATAKA,560002,INDIVIDUAL,PAN,9877121,Residential,7,13-11-2021,25-03-2024,13-12-2021,Connection Released,2456,RAHUL SINGH,Installation completed
130,VÍCTOR,Male,North,KARNATAKA,560002,INDIVIDUAL,PASSPORT,893867257,Commercial,6,28-02-2021,23-07-2024,28-03-2021,Connection Released,1311,Sudhanshu Gupta,Installation completed
131,NATALIE,Male,North,KARNATAKA,560061,INDIVIDUAL,PASSPORT,891209422,Commercial,5,08-02-2021,30-05-2024,08-03-2021,Connection Released,1311,Sudhanshu Gupta,Installation completed
132,KEITH,Male,North,KARNATAKA,560024,INDIVIDUAL,PASSPORT,716691114,Residential,8,05-03-2021,25-03-2024,05-04-2021,Connection Released,2456,RAHUL SINGH,Installation completed
133,EDWARD,Male,North,KARNATAKA,560062,INDIVIDUAL,PASSPORT,217933521,Residential,2,08-02-2021,08-10-2024,08-03-2021,Connection Released,4510,VINOD GUPTA,Installation completed
134,JACK,Male,North,KARNATAKA,560037,JOINT,AADHAR,2.50E+11,Residential,4,17-09-2021,09-10-2024,17-10-2021,Approved,1311,Sudhanshu Gupta,Installation pending
135,GINA,Male,North,KARNATAKA,560061,JOINT,PASSPORT,207176186,Residential,11,07-02-2021,10-08-2024,07-03-2021,Approved,1460,HEM CHAND,Installation pending
136,DANA,Male,North,KARNATAKA,560009,INDIVIDUAL,AADHAR,9.58E+11,Commercial,4,16-11-2021,27-06-2024,16-12-2021,Approved,1311,Sudhanshu Gupta,Installation pending
137,JEREMY,Male,North,KARNATAKA,560036,JOINT,PASSPORT,496381498,Commercial,9,26-11-2021,21-05-2024,26-12-2021,Approved,2456,RAHUL SINGH,Installation pending
138,NICHOLAS,Male,North,KARNATAKA,560041,INDIVIDUAL,VOTER_ID,79885,Residential,11,07-12-2021,08-05-2024,07-01-2022,Connection Released,2456,RAHUL SINGH,Installation completed
139,KRISTEN,Male,North,KARNATAKA,560015,INDIVIDUAL,AADHAR,8.91E+11,Commercial,3,26-07-2021,13-11-2024,26-08-2021,Connection Released,1311,Sudhanshu Gupta,Installation completed
140,ANA,Male,North,KARNATAKA,560028,INDIVIDUAL,VOTER_ID,88223,Commercial,12,14-12-2021,14-01-2022,14-01-2022,Connection Released,4510,VINOD GUPTA,Installation completed
141,KATHY,Male,North,KARNATAKA,560009,INDIVIDUAL,VOTER_ID,99486,Commercial,7,22-01-2021,17-09-2024,22-02-2021,Approved,1678,Manoj Pandey,Installation pending
142,BRANDON,Male,North,KARNATAKA,560004,INDIVIDUAL,PASSPORT,763663199,Residential,2,30-01-2021,03-08-2024,28-02-2021,Approved,4510,VINOD GUPTA,Installation pending
143,ANNE,Male,North,KARNATAKA,560024,INDIVIDUAL,PASSPORT,868957081,Residential,1,30-03-2021,06-05-2024,30-04-2021,Connection Released,4510,VINOD GUPTA,Installation completed
144,ALEXANDRA,Male,North,KARNATAKA,560043,INDIVIDUAL,PASSPORT,511105190,Commercial,4,19-12-2021,01-11-2024,19-01-2022,Connection Released,2456,RAHUL SINGH,Installation completed
145,CYNTHIA,Male,North,KARNATAKA,560062,INDIVIDUAL,AADHAR,9.72E+11,Residential,12,29-06-2021,21-04-2024,29-07-2021,Connection Released,1311,Sudhanshu Gupta,Installation completed
